"Species","Depth_bin","p"
"Arctic skate","730",0.0122927301202074
"Arctic skate","740",0.0132456987201386
"Arctic skate","750",0.0151915403943667
"Arctic skate","760",0.0142946935076523
"Arctic skate","770",0.0155563726416817
"Arctic skate","780",0.0190137580061541
"Arctic skate","790",0.0208818099885694
"Arctic skate","800",0.0151359866657954
"Arctic skate","810",0.0119007679562803
"Arctic skate","820",0.0146561459163722
"Arctic skate","830",0.0188470303899504
"Arctic skate","840",0.0167998276923841
"Arctic skate","850",0.0155030495455912
"Arctic skate","860",0.00958543446517285
"Arctic skate","870",0.0101351590855731
"Arctic skate","880",0.0106070117480627
"Arctic skate","890",0.0110960814120431
"Arctic skate","900",0.00757453625317426
"Arctic skate","910",0.0085296553093727
"Arctic skate","920",0.0116585586386582
"Arctic skate","930",0.0137364861605684
"Arctic skate","940",0.0170386412325776
"Arctic skate","950",0.018628132964268
"Arctic skate","960",0.0121472475875464
"Arctic skate","970",0.0115551557897304
"Arctic skate","980",0.0233654805965188
"Arctic skate","990",0.0176982343138026
"Arctic skate","1000",0.0193975235416282
"Arctic skate","1010",0.0184820288036615
"Arctic skate","1020",0.0170181961751605
"Arctic skate","1030",0.0314359546831138
"Arctic skate","1040",0.0254238950758974
"Arctic skate","1050",0.027891179905187
"Arctic skate","1060",0.0211077008639843
"Arctic skate","1070",0.0138764837919381
"Arctic skate","1080",0.0137081289706029
"Arctic skate","1090",0.0147932494876825
"Arctic skate","1100",0.0244649774288134
"Arctic skate","1110",0.0177529472995145
"Arctic skate","1120",0.00905872467818172
"Arctic skate","1130",0.0110718152565411
"Arctic skate","1140",0.00874931178485752
"Arctic skate","1150",0.00896759878126055
"Arctic skate","1160",0.0132751322663821
"Arctic skate","1170",0.0088061391833347
"Arctic skate","1180",0.0160222682347155
"Arctic skate","1190",0.0117378144973933
"Arctic skate","1200",0.0094063384529976
"Arctic skate","1210",0.013413688500879
"Arctic skate","1220",0.0123342047997084
"Arctic skate","1230",0.00992710280670957
"Arctic skate","1240",0.0102048795755937
"Arctic skate","1250",0.0105367736669577
